mode,mnlc,masc,station,coverage,source,entries_monday,entries_midweek,entries_friday,entries_saturday,entries_sunday,exits_monday,exits_midweek,exits_friday,exits_saturday,exits_sunday,weekly_total,twelve_week_total,annualised_total
LU,662,NWHu,Northwood Hills,Station entry/exit,Gateline,2351,2638,2461,1603,1078,2271,2565,2340,1552,1087,30353,347124,1408690
LU,663,NHGu,Notting Hill Gate,Station entry/exit,Gateline,16152,18406,19413,21972,12929,16982,19375,20804,25217,14143,260954,2984313,12110869
LU,664,OAKu,Oakwood,Station entry/exit,Gateline,3442,3739,3787,3423,2563,3450,3881,3987,3572,2634,49716,568557,2307306
LU,665,OLDu,Old Street,Station entry/exit,Gateline,22003,29670,24364,20568,13377,21768,29556,25902,22712,13080,341455,3904932,15846905
LU,667,OSTu,Osterley,Station entry/exit,Gateline,2660,2944,2696,2216,1664,2649,2950,2618,2163,1748,36097,412813,1675267
LU,668,OVLu,Oval,Station entry/exit,Gateline,8044,9809,9421,8255,5746,7914,9692,9158,8079,5881,121002,1383805,5615724
LU,669,OXCu,Oxford Circus,Station entry/exit,Gateline,64847,84129,74803,76154,47114,71881,93337,85536,95807,52647,1101186,12593351,51106043
LU,670,PADu,Paddington TfL,Station entry/exit,Gateline,71505,82171,77763,73620,59269,68344,80840,79416,70937,56149,1046034,11962629,48546460
LU,671,PRYu,Park Royal,Station entry/exit,Gateline,2450,2734,2790,2366,1559,2589,2915,2926,2450,1574,35650,407705,1654538
LU,672,PGRu,Parsons Green,Station entry/exit,Gateline,8583,10077,9359,7570,4726,8604,10024,8968,7162,4719,119993,1372256,5568858
LU,673,PERu,Perivale,Station entry/exit,Gateline,2830,3092,3000,2297,1456,2764,3014,2875,2120,1452,37112,424419,1722368
LU,674,PICu,Piccadilly Circus,Station entry/exit,Gateline,34896,42612,44568,53654,31771,33214,41121,43773,53319,29773,576166,6589136,26739879
LU,776,PIMu,Pimlico,Station entry/exit,Gateline,10583,12876,11612,9457,6850,10556,12612,11191,9252,6753,152719,1746515,7087668
LU,675,PINu,Pinner,Station entry/exit,Gateline,3957,3796,3802,3000,2041,3892,3805,3509,2952,1961,47917,547983,2223811
LU,676,PLWu,Plaistow,Station entry/exit,Gateline,7173,7897,7671,5656,4277,6749,7532,7093,5298,4248,94452,1080166,4383503
LU,677,PRDu,Preston Road,Station entry/exit,Gateline,4015,4289,4170,3000,2209,3933,4307,4076,2851,2177,52218,597177,2423452
LU,678,PUTu,Putney Bridge,Station entry/exit,Gateline,6988,8311,8096,6812,5028,7815,9238,8486,6848,5209,107929,1234295,5008989
LU,680,QPKu,Queen's Park,Station entry/exit,Gateline,6782,7847,7352,6345,4201,6424,7490,6853,5936,4332,94234,1077682,4373423
LU,679,QBYu,Queensbury,Station entry/exit,Gateline,5182,5390,5369,3754,2625,5171,5398,5270,3698,2530,65965,754385,3061427
LU,681,QWYu,Queensway,Station entry/exit,Gateline,8696,8932,9711,10923,8057,8832,9987,10439,11199,7942,132557,1515948,6151983
LU,682,RCPu,Ravenscourt Park,Station entry/exit,Gateline,4382,4858,4755,3486,2327,4318,4779,4670,3398,2305,58550,669589,2717311
LU,683,RAYu,Rayners Lane,Station entry/exit,Gateline,5512,5965,5592,4371,3096,5312,5840,5475,4108,3092,71975,823120,3340365
LU,684,REDu,Redbridge,Station entry/exit,Gateline,3364,3624,3434,2844,2044,3080,3322,3142,2555,1916,43217,494234,2005688
LU,685,RPKu,Regent's Park,Station entry/exit,Gateline,3242,3859,3435,2808,1575,3785,4511,4208,3420,1926,49511,566218,2297814
LU,686,RMDu,Richmond,LU+LO Boarding/alighting,Manual Count,13582,14308,14256,12166,13517,13510,14073,14829,11360,12874,191237,2187019,8875310
LU,687,RKYu,Rickmansworth,Station entry/exit,Gateline,3085,3550,3306,1929,1343,3029,3419,3196,1791,1302,39889,456176,1851241
LU,688,RODu,Roding Valley,Station entry/exit,Gateline,395,362,324,279,192,627,618,446,359,205,5768,65960,267679
